0	1085	1081	1070	1033	1213	1282	1267	1343	1348	1359	1393	1374	1443	1450	1452	1426	1618	1700	1698	1786	1803	1827	1875	1869	1951	1972	1987	1975	2181
1	89	88	82	137	120	141	129	131	128	122	177	162	183	173	176	175	170	227	213	236	227	233	233	230	288	277	302	295	302
4	14	40	18	25	11	27	25	27	54	33	45	26	45	48	48	76	55	70	50	70	75	76	104	85	100	81	103	108	110
5	12	1	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	12	9	16	26	18	23	21	21	13	22	27	22	28	27	30	24	33	39	34	40	39	42	36	45	52	47	53	53	57
10	9	1	0	18	15	15	15	8	0	0	17	14	14	14	7	0	0	17	14	15	14	7	0	0	18	16	16	16	9
11	18	15	18	29	25	17	20	14	9	12	22	18	9	13	6	1	3	14	9	0	4	0	0	0	3	0	0	0	0
13	18	27	19	30	18	29	29	11	22	14	23	12	22	22	4	15	6	15	4	14	13	0	5	0	5	0	2	1	0
15	25	21	18	20	23	23	26	15	13	11	13	16	16	19	7	4	2	4	7	6	8	0	0	0	0	0	0	0	0
18	5	3	8	13	3	11	14	11	7	11	16	6	14	17	14	9	13	17	8	15	18	15	10	13	18	8	15	18	14
19	0	0	1	0	10	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	28	20	25	19	20	18	22	26	19	23	17	17	15	19	23	16	20	13	14	11	15	18	11	15	8	8	6	9	12
22	23	4	8	22	28	21	24	29	10	14	29	35	29	32	37	19	23	39	45	39	42	48	30	35	50	57	52	55	61
24	23	17	23	32	33	31	27	24	19	25	34	35	33	29	26	21	27	36	37	35	31	28	23	29	38	39	37	34	31
25	5	2	6	15	8	14	16	11	8	13	22	16	22	24	20	18	23	32	26	33	35	32	30	35	45	39	46	49	46
38	34	17	15	25	31	28	28	29	16	13	23	30	27	28	29	16	14	23	31	28	29	30	18	16	26	34	31	33	35
39	47	45	41	52	48	51	50	50	48	44	55	52	55	54	54	53	49	60	57	60	59	60	58	55	66	63	66	66	67
43	71	74	71	79	74	72	74	66	69	65	73	67	65	67	59	62	58	66	60	58	59	51	54	50	57	51	49	50	41
45	5	4	7	9	5	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	13	19	16	21	20	22	15	17	21	19	26	21	28	20	21	25	24	31	25	34	25	27	31	30	37	31	40	32	34
50	14	10	6	15	11	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	13	17	13	22	24	32	26	24	24	22	31	34	42	37	35	36	35	44	47	56	51	50	51	50	60	64	73	69	68
57	46	49	48	62	62	55	51	49	53	52	66	66	60	55	54	59	58	72	72	65	61	61	65	64	78	79	73	69	68
73	4	1	0	1	3	6	5	8	5	4	6	8	11	10	14	11	10	12	14	18	17	21	19	18	20	23	27	26	31
75	15	10	10	14	15	13	8	12	9	9	12	11	9	4	8	4	4	7	6	4	0	2	0	0	0	0	0	0	0
76	13	8	10	15	12	16	13	14	8	10	15	13	17	14	14	9	11	16	14	18	15	16	10	12	17	16	19	17	17
77	30	26	28	32	33	39	34	29	24	25	34	31	36	34	28	23	25	32	30	35	32	27	22	23	31	29	34	31	26
82	18	27	16	20	21	26	30	19	23	14	18	17	24	25	14	19	9	14	13	19	21	10	14	5	9	8	14	16	5
84	12	8	10	6	9	10	15	10	9	9	6	9	10	16	11	9	10	7	10	11	17	12	11	11	8	11	13	18	14
87	18	20	20	20	25	22	19	18	19	19	19	24	20	17	17	18	17	17	22	19	16	15	16	16	16	20	17	14	13
88	17	10	6	15	10	14	12	11	7	3	11	6	10	8	7	3	0	7	2	6	3	2	0	0	1	0	0	0	0
89	6	7	7	3	4	7	8	6	7	7	3	4	7	8	6	7	7	3	4	7	8	6	8	8	3	5	8	9	7
104	17	23	17	23	25	24	25	15	18	12	19	21	20	21	11	14	7	14	16	14	15	5	8	1	8	10	8	9	0
105	36	35	36	38	41	39	41	40	39	40	43	46	44	46	45	45	46	49	52	50	53	52	52	53	56	59	58	61	60
107	12	16	17	10	8	11	9	5	10	10	3	1	4	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
